family_category	holdout_accession	domtblout_path	positive_hit_status	best_full_score	hmm_coverage	domain_count
extracellular_pha_depolymerase_core	A6EXA3	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/A6EXA3/raw_domtblout/holdout_positive.domtblout	recovered	389.1	0.985240	1
extracellular_pha_depolymerase_core	AAB40611.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/AAB40611.1/raw_domtblout/holdout_positive.domtblout	recovered	159.9	0.985915	1
extracellular_pha_depolymerase_core	BAA32541.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/BAA32541.1/raw_domtblout/holdout_positive.domtblout	recovered	618.4	0.994845	1
extracellular_pha_depolymerase_core	BAA35137.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/BAA35137.1/raw_domtblout/holdout_positive.domtblout	recovered	445.0	0.794828	1
extracellular_pha_depolymerase_core	BAA92354.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/BAA92354.1/raw_domtblout/holdout_positive.domtblout	recovered	320.3	0.765880	1
extracellular_pha_depolymerase_core	BAF35850.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/BAF35850.1/raw_domtblout/holdout_positive.domtblout	recovered	326.2	0.969643	1
extracellular_pha_depolymerase_core	BBB62377.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/BBB62377.1/raw_domtblout/holdout_positive.domtblout	recovered	622.0	1.000000	1
extracellular_pha_depolymerase_core	BBB68334.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/BBB68334.1/raw_domtblout/holdout_positive.domtblout	recovered	629.8	0.993068	1
extracellular_pha_depolymerase_core	CAQ46066.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/CAQ46066.1/raw_domtblout/holdout_positive.domtblout	recovered	206.8	0.557932	1
extracellular_pha_depolymerase_core	O05527	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/O05527/raw_domtblout/holdout_positive.domtblout	recovered	368.5	0.786232	1
extracellular_pha_depolymerase_core	O82950	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/O82950/raw_domtblout/holdout_positive.domtblout	recovered	618.4	0.994845	1
extracellular_pha_depolymerase_core	P12625	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/P12625/raw_domtblout/holdout_positive.domtblout	recovered	452.7	0.819257	2
extracellular_pha_depolymerase_core	Q51718	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/Q51718/raw_domtblout/holdout_positive.domtblout	recovered	193.2	0.405498	1
extracellular_pha_depolymerase_core	Q5YEW3	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/Q5YEW3/raw_domtblout/holdout_positive.domtblout	recovered	299.5	0.769784	1
extracellular_pha_depolymerase_core	Q6UFW4	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/Q6UFW4/raw_domtblout/holdout_positive.domtblout	recovered	172.7	0.443060	1
extracellular_pha_depolymerase_core	Q84C08	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/Q84C08/raw_domtblout/holdout_positive.domtblout	recovered	201.1	0.408547	1
extracellular_pha_depolymerase_core	ZP_01169502.1	04_family_profiles/calibration/extracellular_pha_depolymerase_core/calibration/leave_one_out/extracellular_pha_depolymerase_core/ZP_01169502.1/raw_domtblout/holdout_positive.domtblout	recovered	334.3	0.959220	1
