family_category	holdout_accession	domtblout_path	positive_hit_status	best_full_score	hmm_coverage	domain_count
archaeal_patatin_like_pha_dep	AFK21580.1	04_family_profiles/calibration/leave_one_out/archaeal_patatin_like_pha_dep/AFK21580.1/raw_domtblout/holdout_positive.domtblout	recovered	555.3	0.990741	1
archaeal_patatin_like_pha_dep	AGN01047.1	04_family_profiles/calibration/leave_one_out/archaeal_patatin_like_pha_dep/AGN01047.1/raw_domtblout/holdout_positive.domtblout	recovered	564.6	0.993827	1
archaeal_patatin_like_pha_dep	CCQ32286.1	04_family_profiles/calibration/leave_one_out/archaeal_patatin_like_pha_dep/CCQ32286.1/raw_domtblout/holdout_positive.domtblout	recovered	538.4	0.990654	1
archaeal_patatin_like_pha_dep	CCQ36014.1	04_family_profiles/calibration/leave_one_out/archaeal_patatin_like_pha_dep/CCQ36014.1/raw_domtblout/holdout_positive.domtblout	recovered	556.8	1.000000	1
archaeal_patatin_like_pha_dep	ELY43313.1	04_family_profiles/calibration/leave_one_out/archaeal_patatin_like_pha_dep/ELY43313.1/raw_domtblout/holdout_positive.domtblout	recovered	322.9	0.807453	1
archaeal_patatin_like_pha_dep	KYH27761.1	04_family_profiles/calibration/leave_one_out/archaeal_patatin_like_pha_dep/KYH27761.1/raw_domtblout/holdout_positive.domtblout	recovered	424.3	0.990654	1
extracellular_mcl_pha_dep	BBB62377.1	04_family_profiles/calibration/leave_one_out/extracellular_mcl_pha_dep/BBB62377.1/raw_domtblout/holdout_positive.domtblout	recovered	652.5	0.997701	1
extracellular_mcl_pha_dep	BBB68334.1	04_family_profiles/calibration/leave_one_out/extracellular_mcl_pha_dep/BBB68334.1/raw_domtblout/holdout_positive.domtblout	recovered	409.3	0.991018	2
extracellular_mcl_pha_dep	CAQ46066.1	04_family_profiles/calibration/leave_one_out/extracellular_mcl_pha_dep/CAQ46066.1/raw_domtblout/holdout_positive.domtblout	recovered	35.5	0.222222	1
extracellular_mcl_pha_dep	Q51718	04_family_profiles/calibration/leave_one_out/extracellular_mcl_pha_dep/Q51718/raw_domtblout/holdout_positive.domtblout	recovered	316.6	0.973451	1
extracellular_mcl_pha_dep	Q6UFW4	04_family_profiles/calibration/leave_one_out/extracellular_mcl_pha_dep/Q6UFW4/raw_domtblout/holdout_positive.domtblout	recovered	275.5	0.982090	1
extracellular_mcl_pha_dep	Q84C08	04_family_profiles/calibration/leave_one_out/extracellular_mcl_pha_dep/Q84C08/raw_domtblout/holdout_positive.domtblout	recovered	320.2	0.994118	1
extracellular_scl_pha_dep_type_I	A6EXA3	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_I/A6EXA3/raw_domtblout/holdout_positive.domtblout	recovered	561.0	0.969091	1
extracellular_scl_pha_dep_type_I	BAA32541.1	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_I/BAA32541.1/raw_domtblout/holdout_positive.domtblout	recovered	837.7	0.994728	1
extracellular_scl_pha_dep_type_I	BAF35850.1	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_I/BAF35850.1/raw_domtblout/holdout_positive.domtblout	recovered	299.5	0.806620	2
extracellular_scl_pha_dep_type_I	O82950	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_I/O82950/raw_domtblout/holdout_positive.domtblout	recovered	837.7	0.994728	1
extracellular_scl_pha_dep_type_I	P12625	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_I/P12625/raw_domtblout/holdout_positive.domtblout	recovered	105.7	0.716495	2
extracellular_scl_pha_dep_type_I	ZP_01169502.1	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_I/ZP_01169502.1/raw_domtblout/holdout_positive.domtblout	recovered	412.8	0.976234	1
extracellular_scl_pha_dep_type_II	AAB40611.1	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_II/AAB40611.1/raw_domtblout/holdout_positive.domtblout	missing			0
extracellular_scl_pha_dep_type_II	BAA35137.1	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_II/BAA35137.1/raw_domtblout/holdout_positive.domtblout	recovered	733.1	0.998020	1
extracellular_scl_pha_dep_type_II	BAA92354.1	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_II/BAA92354.1/raw_domtblout/holdout_positive.domtblout	recovered	658.3	0.978088	1
extracellular_scl_pha_dep_type_II	O05527	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_II/O05527/raw_domtblout/holdout_positive.domtblout	recovered	760.9	1.000000	1
extracellular_scl_pha_dep_type_II	Q5YEW3	04_family_profiles/calibration/leave_one_out/extracellular_scl_pha_dep_type_II/Q5YEW3/raw_domtblout/holdout_positive.domtblout	recovered	660.4	0.992000	1
intracellular_mcl_pha_dep	B7UCC9	04_family_profiles/calibration/leave_one_out/intracellular_mcl_pha_dep/B7UCC9/raw_domtblout/holdout_positive.domtblout	recovered	617.6	0.992933	1
intracellular_mcl_pha_dep	Q5Y152	04_family_profiles/calibration/leave_one_out/intracellular_mcl_pha_dep/Q5Y152/raw_domtblout/holdout_positive.domtblout	recovered	654.4	0.992933	1
intracellular_mcl_pha_dep	Q88D24	04_family_profiles/calibration/leave_one_out/intracellular_mcl_pha_dep/Q88D24/raw_domtblout/holdout_positive.domtblout	recovered	660.6	0.996479	1
intracellular_mcl_pha_dep	Q9R9W3	04_family_profiles/calibration/leave_one_out/intracellular_mcl_pha_dep/Q9R9W3/raw_domtblout/holdout_positive.domtblout	recovered	652.5	0.996479	1
intracellular_phaZ_no_lipase_box	O87189	04_family_profiles/calibration/leave_one_out/intracellular_phaZ_no_lipase_box/O87189/raw_domtblout/holdout_positive.domtblout	recovered	502.3	0.926097	1
intracellular_phaZ_no_lipase_box	Q0K7T2	04_family_profiles/calibration/leave_one_out/intracellular_phaZ_no_lipase_box/Q0K7T2/raw_domtblout/holdout_positive.domtblout	recovered	478.3	0.846868	1
intracellular_phaZ_no_lipase_box	Q71KW6	04_family_profiles/calibration/leave_one_out/intracellular_phaZ_no_lipase_box/Q71KW6/raw_domtblout/holdout_positive.domtblout	recovered	541.9	0.829384	1
intracellular_phaZ_no_lipase_box	Q92TD3	04_family_profiles/calibration/leave_one_out/intracellular_phaZ_no_lipase_box/Q92TD3/raw_domtblout/holdout_positive.domtblout	recovered	551.7	0.964371	1
intracellular_phaZ_no_lipase_box	Q9WX79	04_family_profiles/calibration/leave_one_out/intracellular_phaZ_no_lipase_box/Q9WX79/raw_domtblout/holdout_positive.domtblout	recovered	415.0	0.933661	1
