family_category	model_sha256	control_id	control_role	hard_negative	expected_outcome	control_family_category	source_accession	organism	taxonomic_domain	evidence_level	profile_seed_status	sequence_path	sequence_sha256	source_database	source_release	source_version	retrieval_date	source_url	doi	pmid	pmcid	literature_support_scope	architecture_rationale	notes
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|AHB64615.1	boundary_observation	no	report_only	archaeal_patatin_like_pha_dep	AHB64615.1	Haloarcula hispanica N601	Archaea	E3	boundary_candidate	01_reference_library/seeds/archaea/AHB64615.1.faa	98a44cd53b076410b25986aba4eaa7cd6192b0889817ff8f146a8359cf48f260	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version AHB64615.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/AHB64615.1				NCBI Protein annotation only; no direct literature support	Excluded from this profile by the accession-level seed decision; retained to expose architecture or evidence ambiguity and never used to set a rejection threshold.	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|AHZ23723.1	boundary_observation	no	report_only	archaeal_patatin_like_pha_dep	AHZ23723.1	Haloferax mediterranei ATCC 33500	Archaea	E3	boundary_candidate	01_reference_library/seeds/archaea/AHZ23723.1.faa	a0244b27caacf6a651bbeefa034ecabfcd53b50619b78f142b42093b9a2a004b	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version AHZ23723.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/AHZ23723.1				NCBI Protein annotation only; no direct literature support	Excluded from this profile by the accession-level seed decision; retained to expose architecture or evidence ambiguity and never used to set a rejection threshold.	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|AJF25805.1	boundary_observation	no	report_only	archaeal_patatin_like_pha_dep	AJF25805.1	Haloarcula sp. CBA1115	Archaea	E3	boundary_candidate	01_reference_library/seeds/archaea/AJF25805.1.faa	9477c6c45d28d2eb40488d236b9bccd75e1a5f940308973285625fd435a6ca06	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version AJF25805.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/AJF25805.1				NCBI Protein annotation only; no direct literature support	Excluded from this profile by the accession-level seed decision; retained to expose architecture or evidence ambiguity and never used to set a rejection threshold.	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|EFW93255.1	boundary_observation	no	report_only	archaeal_patatin_like_pha_dep	EFW93255.1	Haladaptatus paucihalophilus DX253	Archaea	E3	boundary_candidate	01_reference_library/seeds/archaea/EFW93255.1.faa	9866f53c8bd5c338a9a5acad58ae37b3c37fd464e4006f992864e1e6ec77c6c8	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version EFW93255.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/EFW93255.1				NCBI Protein annotation only; no direct literature support	Excluded from this profile by the accession-level seed decision; retained to expose architecture or evidence ambiguity and never used to set a rejection threshold.	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|KOX95185.1	boundary_observation	no	report_only	archaeal_patatin_like_pha_dep	KOX95185.1	Haloarcula rubripromontorii	Archaea	E3	boundary_candidate	01_reference_library/seeds/archaea/KOX95185.1.faa	808f769eec4131d0dcd8be86263cc9818d4c94a5115c1f56187442a8d37c7f0f	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version KOX95185.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/KOX95185.1				NCBI Protein annotation only; no direct literature support	Excluded from this profile by the accession-level seed decision; retained to expose architecture or evidence ambiguity and never used to set a rejection threshold.	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|KZX50211.1	boundary_observation	no	report_only	archaeal_patatin_like_pha_dep	KZX50211.1	Haloarcula sp. K1	Archaea	E3	boundary_candidate	01_reference_library/seeds/archaea/KZX50211.1.faa	0389ff6a2ff6e3545d4c4b4d370044e33c935a390bc9e126ee9f4cb3cc7ae554	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version KZX50211.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/KZX50211.1				NCBI Protein annotation only; no direct literature support	Excluded from this profile by the accession-level seed decision; retained to expose architecture or evidence ambiguity and never used to set a rejection threshold.	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|BBB62377.1	cross_family_challenge	yes	must_fail_threshold	extracellular_mcl_pha_dep	BBB62377.1	Undibacterium sp. KW1	Bacteria	E1		01_reference_library/seeds/bacteria/BBB62377.1.faa	b5d0bb92927447bbede6b531b38ff49e24a6b88248cab5a97c54f575ddc8700e	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BBB62377.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BBB62377.1	10.1371/journal.pone.0232698	32369496		recombinant extracellular PHBH-degrading enzyme with signal peptide and domain architecture; direct activity on PHBH powder and culture supernatant	Current profile seed for distinct active family extracellular_mcl_pha_dep; used to test cross-family HMM separation, not as a phenotype-negative assertion.	Cross-genus mcl extension
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|BBB68334.1	cross_family_challenge	yes	must_fail_threshold	extracellular_mcl_pha_dep	BBB68334.1	Undibacterium sp. YM2	Bacteria	E1		01_reference_library/seeds/bacteria/BBB68334.1.faa	c21e3dd07e39e863a9353f8879038f0552b8eea9b35922a1cf6cf243d56c4bab	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BBB68334.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BBB68334.1	10.1371/journal.pone.0232698	32369496		recombinant extracellular PHBH-degrading enzyme with signal peptide and domain architecture; direct activity on PHBH powder and culture supernatant	Current profile seed for distinct active family extracellular_mcl_pha_dep; used to test cross-family HMM separation, not as a phenotype-negative assertion.	Cross-genus mcl extension
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|CAQ46066.1	cross_family_challenge	yes	must_fail_threshold	extracellular_mcl_pha_dep	CAQ46066.1	Stenotrophomonas maltophilia K279a	Bacteria	E1		01_reference_library/seeds/bacteria/CAQ46066.1.faa	d901af2bf257106a07b449d99cd080ef9aaccb509aa383f405d1c777120d060e	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version CAQ46066.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/CAQ46066.1				recombinant mcl-PHA depolymerase activity assigned to smlt2590 in doctoral thesis work; direct PHO degradation activity	Current profile seed for distinct active family extracellular_mcl_pha_dep; used to test cross-family HMM separation, not as a phenotype-negative assertion.	Cross-genus mcl extension
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|Q51718	cross_family_challenge	yes	must_fail_threshold	extracellular_mcl_pha_dep	Q51718	Pseudomonas fluorescens GK13	Bacteria	E1		01_reference_library/seeds/bacteria/Q51718.faa	2c360814ce4a451df29f382322749377bdb247dd2235504bd9e4a0aa82a73a92	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-25	https://www.uniprot.org/uniprotkb/Q51718/entry	10.1128/AEM.00337-10	20400568		direct extracellular mcl-PHA depolymerase activity	Current profile seed for distinct active family extracellular_mcl_pha_dep; used to test cross-family HMM separation, not as a phenotype-negative assertion.	PHA bridge row to retain boundary coverage beyond PHB-specific seeds
