family_category	model_sha256	current_bundle_role	next_rebuild_decision	seed_id	source_accession	organism	taxonomic_domain	evidence_level	sequence_length_aa	sequence_path	sequence_sha256	source_database	source_release	source_version	retrieval_date	source_url	doi	pmid	pmcid	literature_support_scope	bundle_header	bundle_sha256	bundle_membership_verified	notes
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	provisional_model_seed	retain_experimental_patin_like_anchor	arc-AFK21580	AFK21580.1	Haloferax mediterranei ATCC 33500	Archaea	E1	321	01_reference_library/seeds/archaea/AFK21580.1.faa	638296e63f241cb400b5738251062c112d0dbab499ef8737a2369f721d0ca791	NCBI Protein	NCBI Protein accessed 2026-07-25	accession.version AFK21580.1	2026-07-25	https://www.ncbi.nlm.nih.gov/protein/AFK21580.1	10.1128/AEM.04269-14	25710370		direct native PHA, nPHB, and nPHBV depolymerase assay with granule association and active-site evidence	>arc-AFK21580|AFK21580.1	3e1923cb47928f0e889cbf796958b2af9c5964bf4e75d4f26af52cd6a1848a7c	yes	Initial archaeal literature-supported seed
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	provisional_model_seed	add_e3_patin_like_architecture_coverage	arc-AGN01047	AGN01047.1	Salinarchaeum sp. Harcht-Bsk1	Archaea	E3	321	01_reference_library/seeds/archaea/AGN01047.1.faa	1dee8f22d42fb3165612ec12c03a5a988ad209b818c78e10ba456e0794ddc257	NCBI Protein	NCBI Protein accessed 2026-07-27	accession.version AGN01047.1	2026-07-27	https://www.ncbi.nlm.nih.gov/protein/AGN01047.1				NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@45 motif; E3 architecture coverage only, not phenotype evidence	>arc-AGN01047|AGN01047.1	3e1923cb47928f0e889cbf796958b2af9c5964bf4e75d4f26af52cd6a1848a7c	yes	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	provisional_model_seed	add_e3_patin_like_architecture_coverage	arc-CCQ32286	CCQ32286.1	Halorhabdus tiamatea SARL4B	Archaea	E3	322	01_reference_library/seeds/archaea/CCQ32286.1.faa	64745e4845efde2f05f915bba4db04a1a650721c7bf4e6f12e792a8d84c68ac8	NCBI Protein	NCBI Protein accessed 2026-07-27	accession.version CCQ32286.1	2026-07-27	https://www.ncbi.nlm.nih.gov/protein/CCQ32286.1				NCBI Protein patatin-like phospholipase annotation with N-terminal GSSGG@45 motif; E3 architecture coverage only, not phenotype evidence	>arc-CCQ32286|CCQ32286.1	3e1923cb47928f0e889cbf796958b2af9c5964bf4e75d4f26af52cd6a1848a7c	yes	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	provisional_model_seed	retain_e3_patin_like_coverage	arc-CCQ36014	CCQ36014.1	Natronomonas moolapensis 8.8.11	Archaea	E3	323	01_reference_library/seeds/archaea/CCQ36014.1.faa	dd47a3329739ff402d68af4f0a409481b293e61e4ea0b25318cabc418f5eb24f	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version CCQ36014.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/CCQ36014.1				NCBI Protein annotation only; no direct literature support	>arc-CCQ36014|CCQ36014.1	3e1923cb47928f0e889cbf796958b2af9c5964bf4e75d4f26af52cd6a1848a7c	yes	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	provisional_model_seed	add_e3_patin_like_architecture_coverage	arc-ELY43313	ELY43313.1	Natronorubrum tibetense GA33	Archaea	E3	269	01_reference_library/seeds/archaea/ELY43313.1.faa	688e8a75a71d4d1320f0c7badf6127d88c9d91e18d70dc75487c50d68eb0ee2f	NCBI Protein	NCBI Protein accessed 2026-07-27	accession.version ELY43313.1	2026-07-27	https://www.ncbi.nlm.nih.gov/protein/ELY43313.1				NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@48 motif; E3 architecture coverage only, not phenotype evidence	>arc-ELY43313|ELY43313.1	3e1923cb47928f0e889cbf796958b2af9c5964bf4e75d4f26af52cd6a1848a7c	yes	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
archaeal_patatin_like_pha_dep	4d0fd5a38e8465834e1e559e99d66162c432c4ccc6eaa36b0953f00137e51582	provisional_model_seed	add_e3_patin_like_architecture_coverage	arc-KYH27761	KYH27761.1	Halalkalicoccus paucihalophilus	Archaea	E3	329	01_reference_library/seeds/archaea/KYH27761.1.faa	e7970f00100dc0e1a059f524b7cb66c04d5b258c514671a460c33a5d5a5c0030	NCBI Protein	NCBI Protein accessed 2026-07-27	accession.version KYH27761.1	2026-07-27	https://www.ncbi.nlm.nih.gov/protein/KYH27761.1				NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@48 motif; E3 architecture coverage only, not phenotype evidence	>arc-KYH27761|KYH27761.1	3e1923cb47928f0e889cbf796958b2af9c5964bf4e75d4f26af52cd6a1848a7c	yes	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-BBB62377	BBB62377.1	Undibacterium sp. KW1	Bacteria	E1	578	01_reference_library/seeds/bacteria/BBB62377.1.faa	b5d0bb92927447bbede6b531b38ff49e24a6b88248cab5a97c54f575ddc8700e	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BBB62377.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BBB62377.1	10.1371/journal.pone.0232698	32369496		recombinant extracellular PHBH-degrading enzyme with signal peptide and domain architecture; direct activity on PHBH powder and culture supernatant	>bac-BBB62377|BBB62377.1	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	Cross-genus mcl extension
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-BBB68334	BBB68334.1	Undibacterium sp. YM2	Bacteria	E1	578	01_reference_library/seeds/bacteria/BBB68334.1.faa	c21e3dd07e39e863a9353f8879038f0552b8eea9b35922a1cf6cf243d56c4bab	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BBB68334.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BBB68334.1	10.1371/journal.pone.0232698	32369496		recombinant extracellular PHBH-degrading enzyme with signal peptide and domain architecture; direct activity on PHBH powder and culture supernatant	>bac-BBB68334|BBB68334.1	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	Cross-genus mcl extension
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-CAQ46066	CAQ46066.1	Stenotrophomonas maltophilia K279a	Bacteria	E1	334	01_reference_library/seeds/bacteria/CAQ46066.1.faa	d901af2bf257106a07b449d99cd080ef9aaccb509aa383f405d1c777120d060e	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version CAQ46066.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/CAQ46066.1				recombinant mcl-PHA depolymerase activity assigned to smlt2590 in doctoral thesis work; direct PHO degradation activity	>bac-CAQ46066|CAQ46066.1	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	Cross-genus mcl extension
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-Q51718	Q51718	Pseudomonas fluorescens GK13	Bacteria	E1	278	01_reference_library/seeds/bacteria/Q51718.faa	2c360814ce4a451df29f382322749377bdb247dd2235504bd9e4a0aa82a73a92	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-25	https://www.uniprot.org/uniprotkb/Q51718/entry	10.1128/AEM.00337-10	20400568		direct extracellular mcl-PHA depolymerase activity	>bac-Q51718|Q51718	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	PHA bridge row to retain boundary coverage beyond PHB-specific seeds
