family_category	accession	organism	evidence_level	proposed_role	decision_status	experimental_or_architecture_support	doi	pmid	source_database	retrieval_status	sequence_sha256	notes
archaeal_patatin_like_pha_dep	AHB64615.1	Haloarcula hispanica N601	E3	boundary_control	retained_outside_profile_2026-07-27	NCBI Protein annotation only; no direct literature support			NCBI Protein	retrieved_and_sha256_verified	98a44cd53b076410b25986aba4eaa7cd6192b0889817ff8f146a8359cf48f260	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	AHZ23723.1	Haloferax mediterranei ATCC 33500	E3	boundary_control	retained_outside_profile_2026-07-27	NCBI Protein annotation only; no direct literature support			NCBI Protein	retrieved_and_sha256_verified	a0244b27caacf6a651bbeefa034ecabfcd53b50619b78f142b42093b9a2a004b	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	AJF25805.1	Haloarcula sp. CBA1115	E3	boundary_control	retained_outside_profile_2026-07-27	NCBI Protein annotation only; no direct literature support			NCBI Protein	retrieved_and_sha256_verified	9477c6c45d28d2eb40488d236b9bccd75e1a5f940308973285625fd435a6ca06	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	EFW93255.1	Haladaptatus paucihalophilus DX253	E3	boundary_control	retained_outside_profile_2026-07-27	NCBI Protein annotation only; no direct literature support			NCBI Protein	retrieved_and_sha256_verified	9866f53c8bd5c338a9a5acad58ae37b3c37fd464e4006f992864e1e6ec77c6c8	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	KOX95185.1	Haloarcula rubripromontorii	E3	boundary_control	retained_outside_profile_2026-07-27	NCBI Protein annotation only; no direct literature support			NCBI Protein	retrieved_and_sha256_verified	808f769eec4131d0dcd8be86263cc9818d4c94a5115c1f56187442a8d37c7f0f	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	KZX50211.1	Haloarcula sp. K1	E3	boundary_control	retained_outside_profile_2026-07-27	NCBI Protein annotation only; no direct literature support			NCBI Protein	retrieved_and_sha256_verified	0389ff6a2ff6e3545d4c4b4d370044e33c935a390bc9e126ee9f4cb3cc7ae554	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
archaeal_patatin_like_pha_dep	AFK21580.1	Haloferax mediterranei ATCC 33500	E1	profile_seed	implemented_in_rebuild_2026-07-27	direct native PHA, nPHB, and nPHBV depolymerase assay with granule association and active-site evidence	10.1128/AEM.04269-14	25710370	NCBI Protein	retrieved_and_sha256_verified	638296e63f241cb400b5738251062c112d0dbab499ef8737a2369f721d0ca791	Initial archaeal literature-supported seed
archaeal_patatin_like_pha_dep	AGN01047.1	Salinarchaeum sp. Harcht-Bsk1	E3	profile_seed	implemented_in_rebuild_2026-07-27	NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@45 motif; E3 architecture coverage only, not phenotype evidence			NCBI Protein	retrieved_and_sha256_verified	1dee8f22d42fb3165612ec12c03a5a988ad209b818c78e10ba456e0794ddc257	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
archaeal_patatin_like_pha_dep	CCQ32286.1	Halorhabdus tiamatea SARL4B	E3	profile_seed	implemented_in_rebuild_2026-07-27	NCBI Protein patatin-like phospholipase annotation with N-terminal GSSGG@45 motif; E3 architecture coverage only, not phenotype evidence			NCBI Protein	retrieved_and_sha256_verified	64745e4845efde2f05f915bba4db04a1a650721c7bf4e6f12e792a8d84c68ac8	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
archaeal_patatin_like_pha_dep	CCQ36014.1	Natronomonas moolapensis 8.8.11	E3	profile_seed	implemented_in_rebuild_2026-07-27	NCBI Protein annotation only; no direct literature support			NCBI Protein	retrieved_and_sha256_verified	dd47a3329739ff402d68af4f0a409481b293e61e4ea0b25318cabc418f5eb24f	Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
archaeal_patatin_like_pha_dep	ELY43313.1	Natronorubrum tibetense GA33	E3	profile_seed	implemented_in_rebuild_2026-07-27	NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@48 motif; E3 architecture coverage only, not phenotype evidence			NCBI Protein	retrieved_and_sha256_verified	688e8a75a71d4d1320f0c7badf6127d88c9d91e18d70dc75487c50d68eb0ee2f	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
archaeal_patatin_like_pha_dep	KYH27761.1	Halalkalicoccus paucihalophilus	E3	profile_seed	implemented_in_rebuild_2026-07-27	NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@48 motif; E3 architecture coverage only, not phenotype evidence			NCBI Protein	retrieved_and_sha256_verified	e7970f00100dc0e1a059f524b7cb66c04d5b258c514671a460c33a5d5a5c0030	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
intracellular_mcl_pha_dep	Q5Q135	Pseudomonas sp. KBOS 03	E2	boundary_control	retained_outside_profile_2026-07-27	mcl-PHA producer diversity study with phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	10.1111/j.1365-2672.2006.02973.x	16834606	UniProtKB	retrieved_and_sha256_verified	7f6cbffa11aa7f4cb41a9e26b535308296fad94945eda495ac5bf097d59b55af	Adds activated-sludge mcl-PHA producer sequence support; one KBOS representative kept to limit redundancy from the same study. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
intracellular_mcl_pha_dep	Q8VV57	Pseudomonas chlororaphis subsp. aureofaciens	E2	boundary_control	retained_outside_profile_2026-07-27	cloned PHA biosynthesis locus includes phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	10.1007/s00284-001-0063-z	11815858;11916262	UniProtKB	retrieved_and_sha256_verified	f2af8999987e573a7e3a6fec870ef06321660c2d0e29be4adddc3284ae418e5a	Adds chlororaphis/aureofaciens group sequence diversity while keeping evidence bounded to sequence and locus-level support. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
intracellular_mcl_pha_dep	Q9AGB5	Pseudomonas nitroreducens	E2	boundary_control	retained_outside_profile_2026-07-27	PCR-cloned type II PHA biosynthesis locus includes phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	10.1111/j.1574-6968.2001.tb10637.x	11430409	UniProtKB	retrieved_and_sha256_verified	378dea3a3c5b70faa63e408519d592bbb3f7c3879790e7f0e7a4efaac9f5d3e2	Adds nitroreducens/multiresinivorans-group diversity; retained as E2 sequence/locus evidence rather than direct activity evidence. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
intracellular_mcl_pha_dep	Q9Z3Y0	Pseudomonas sp. 61-3	E2	boundary_control	retained_outside_profile_2026-07-27	cloned PHB/PHA biosynthesis locus includes phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row		9851987	UniProtKB	retrieved_and_sha256_verified	dff12fce9c566ad511e0352749c2e22f770563347ed63eae6bb6b0f30144a1e2	Adds classic Pseudomonas sp. 61-3 locus-level sequence support for the mcl-compatible intracellular branch. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
intracellular_mcl_pha_dep	B7UCC9	Pseudomonas fluorescens	E2	profile_seed	implemented_in_rebuild_2026-07-27	phaZ-disrupted mcl-PHA production study with UniProt/EMBL sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	10.1016/j.biortech.2010.01.082	20153638	UniProtKB	retrieved_and_sha256_verified	dc5d90f43832ef1e035ea848423601a96b3e4fd64cbd73ecc0f4a07ce6b30d09	Adds Pseudomonas fluorescens/BM07 lineage support to reduce KT244x over-representation in the intracellular mcl-PHA model.
intracellular_mcl_pha_dep	Q5Y152	Pseudomonas putida KT2442	E1	profile_seed	implemented_in_rebuild_2026-07-27	direct biochemical evidence for intracellular mcl-PHA depolymerase	10.1074/jbc.M608119200	17170116	UniProtKB	retrieved_and_sha256_verified	a51bdcfbb87cda98645cae25c9878a7636331de2d06e2de75279eb3731543ad9	PHA bridge row to preserve DED mcl family coverage without diluting PHB core
intracellular_mcl_pha_dep	Q88D24	Pseudomonas putida KT2440	E1	profile_seed	implemented_in_rebuild_2026-07-27	direct intracellular mcl-PHA mobilization enzyme with biochemical support	10.1007/s00253-025-13605-z	41055782	UniProtKB	retrieved_and_sha256_verified	fc6d20b30eec295860ed2238d425960d718024e686d0b71a931672f1742490c7	New intracellular mcl-PHA accession from the KT2440 lineage; complements the existing KT2442 seed.
intracellular_mcl_pha_dep	Q9R9W3	Pseudomonas putida	E2	profile_seed	implemented_in_rebuild_2026-07-27	functional intracellular mcl-PHA evidence from knockout and biochemical work	10.1186/1471-2180-10-254	20937103	UniProtKB	retrieved_and_sha256_verified	3ac6941a9f63ea9360c5b296cb441c6f34df37078d767a6133f9f55ff272f7db	Independent intracellular mcl-PHA accession from strain U; kept as a secondary supporting branch.
intracellular_phaZ_no_lipase_box	Q0K4D5	Cupriavidus necator H16	E2	boundary_control	retained_outside_profile_2026-07-27	literature-backed intracellular PHB depolymerase branch with weaker role evidence than PhaZ2	10.1128/JB.185.13.3788-3794.2003	12813072	UniProtKB	retrieved_and_sha256_verified	17dfdd3ed5295d14c9f178b8e592cba9927301340e706d0982b071f8729adb0e	Secondary H16 intracellular no-lipase-box accession; useful for family coverage but less direct than PhaZ2. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
intracellular_phaZ_no_lipase_box	O87189	Cupriavidus necator H16	E2	profile_seed	implemented_in_rebuild_2026-07-27	direct intracellular PHB depolymerase support; no classic lipase-box route	10.1128/JB.183.1.94-100.2001	11114905	UniProtKB	retrieved_and_sha256_verified	05003783ca5ea17ca1a9005eaeb9f8a2c6ed72fbdf99311bc8e7b142e40f4027	PHB-focused bridge row for the missing intracellular no-lipase-box family
