seed_id	reference_library	taxonomic_domain	family_category	seed_name	evidence_level	source_database	source_accession	organism	taxon_id	retrieval_date	sequence_format	sequence_length_aa	sequence_path	profile_seed_status	family_label	source_release	source_version	source_url	retrieval_method	retrieval_query	retrieval_endpoint	retrieval_batch_id	retrieval_log_path	accession_version	taxon	database_version	doi	pmid	pmcid	reference_title	reference_year	exclusion_reason	record_kind	literature_support_scope	supporting_sources	supporting_accessions	supporting_notes	notes
arc-AFK21580	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloferax mediterranei PhaZh1/HFX_6464	E1	NCBI Protein	AFK21580.1	Haloferax mediterranei ATCC 33500	523841	2026-07-25	faa	321	01_reference_library/seeds/archaea/AFK21580.1.faa	approved	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-25	accession.version AFK21580.1	https://www.ncbi.nlm.nih.gov/protein/AFK21580.1	accession_fetch	AFK21580.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p04-seed-2026-07-25	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv	AFK21580.1	Archaea;Euryarchaeota;Halobacteria;Haloferacales	NCBI Protein accessed 2026-07-25;UniProtKB 2026_02	10.1128/AEM.04269-14	25710370		A patatin-like protein associated with the polyhydroxyalkanoate granules of Haloferax mediterranei acts as an efficient depolymerase in native PHA degradation	2015		seed	direct native PHA, nPHB, and nPHBV depolymerase assay with granule association and active-site evidence	NCBI Protein;UniProtKB;InterPro;Pfam;PubMed	UniProtKB:I3RBH0;EMBL:AOLO01000015;InterPro:IPR016035;InterPro:IPR002641;Pfam:PF01734	Patatin-like archaeal architecture; do not merge into bacterial PF10503/TIGR01840/TIGR01849/TIGR02240 seed families	Initial archaeal literature-supported seed
arc-AGN01047	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Salinarchaeum sp. Harcht-Bsk1 patatin-like phospholipase	E3	NCBI Protein	AGN01047.1	Salinarchaeum sp. Harcht-Bsk1	1333523	2026-07-27	faa	321	01_reference_library/seeds/archaea/AGN01047.1.faa	approved	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-27	accession.version AGN01047.1	https://www.ncbi.nlm.nih.gov/protein/AGN01047.1	accession_fetch	AGN01047.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-27-ncbi-archaea-patatin-coherent	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AGN01047.1		NCBI Protein accessed 2026-07-27							seed	NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@45 motif; E3 architecture coverage only, not phenotype evidence	NCBI Protein	NCBI Protein:AGN01047.1	Single-record FASTA retrieval verified; GTSGG@45 in the first 80 residues.	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
arc-AHB64615	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloarcula hispanica poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	AHB64615.1	Haloarcula hispanica N601	1417673	2026-07-26	faa	474	01_reference_library/seeds/archaea/AHB64615.1.faa	boundary_candidate	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version AHB64615.1	https://www.ncbi.nlm.nih.gov/protein/AHB64615.1	accession_fetch	AHB64615.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AHB64615.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloarcula hispanica N601]			boundary_control	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:AHB64615.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
arc-AHZ23723	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloferax mediterranei poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	AHZ23723.1	Haloferax mediterranei ATCC 33500	523841	2026-07-26	faa	442	01_reference_library/seeds/archaea/AHZ23723.1.faa	boundary_candidate	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version AHZ23723.1	https://www.ncbi.nlm.nih.gov/protein/AHZ23723.1	accession_fetch	AHZ23723.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AHZ23723.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloferax mediterranei ATCC 33500]			boundary_control	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:AHZ23723.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
arc-AJF25805	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloarcula sp. CBA1115 poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	AJF25805.1	Haloarcula sp. CBA1115	1592728	2026-07-26	faa	474	01_reference_library/seeds/archaea/AJF25805.1.faa	boundary_candidate	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version AJF25805.1	https://www.ncbi.nlm.nih.gov/protein/AJF25805.1	accession_fetch	AJF25805.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AJF25805.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloarcula sp. CBA1115]			boundary_control	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:AJF25805.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
arc-CCQ32286	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Halorhabdus tiamatea SARL4B patatin-like phospholipase	E3	NCBI Protein	CCQ32286.1	Halorhabdus tiamatea SARL4B	1033806	2026-07-27	faa	322	01_reference_library/seeds/archaea/CCQ32286.1.faa	approved	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-27	accession.version CCQ32286.1	https://www.ncbi.nlm.nih.gov/protein/CCQ32286.1	accession_fetch	CCQ32286.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-27-ncbi-archaea-patatin-coherent	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	CCQ32286.1		NCBI Protein accessed 2026-07-27							seed	NCBI Protein patatin-like phospholipase annotation with N-terminal GSSGG@45 motif; E3 architecture coverage only, not phenotype evidence	NCBI Protein	NCBI Protein:CCQ32286.1	Single-record FASTA retrieval verified; GSSGG@45 in the first 80 residues.	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
arc-CCQ36014	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Natronomonas moolapensis poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	CCQ36014.1	Natronomonas moolapensis 8.8.11	268739	2026-07-26	faa	323	01_reference_library/seeds/archaea/CCQ36014.1.faa	approved	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version CCQ36014.1	https://www.ncbi.nlm.nih.gov/protein/CCQ36014.1	accession_fetch	CCQ36014.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	CCQ36014.1		NCBI Protein accessed 2026-07-26				poly(3-hydroxybutyrate) depolymerase [Natronomonas moolapensis 8.8.11]			seed	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:CCQ36014.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
arc-EFW93255	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haladaptatus paucihalophilus poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	EFW93255.1	Haladaptatus paucihalophilus DX253	797209	2026-07-26	faa	490	01_reference_library/seeds/archaea/EFW93255.1.faa	boundary_candidate	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version EFW93255.1	https://www.ncbi.nlm.nih.gov/protein/EFW93255.1	accession_fetch	EFW93255.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	EFW93255.1		NCBI Protein accessed 2026-07-26				poly(3-hydroxybutyrate) depolymerase [Haladaptatus paucihalophilus DX253]			boundary_control	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:EFW93255.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
arc-ELY43313	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Natronorubrum tibetense GA33 patatin-like phospholipase	E3	NCBI Protein	ELY43313.1	Natronorubrum tibetense GA33	1114856	2026-07-27	faa	269	01_reference_library/seeds/archaea/ELY43313.1.faa	approved	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-27	accession.version ELY43313.1	https://www.ncbi.nlm.nih.gov/protein/ELY43313.1	accession_fetch	ELY43313.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-27-ncbi-archaea-patatin-coherent	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	ELY43313.1		NCBI Protein accessed 2026-07-27							seed	NCBI Protein patatin-like phospholipase annotation with N-terminal GTSGG@48 motif; E3 architecture coverage only, not phenotype evidence	NCBI Protein	NCBI Protein:ELY43313.1	Single-record FASTA retrieval verified; GTSGG@48 in the first 80 residues.	Architecture-coherent archaeal patatin coverage candidate; no direct experimental literature support.
arc-KOX95185	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloarcula rubripromontorii poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	KOX95185.1	Haloarcula rubripromontorii	1705562	2026-07-26	faa	471	01_reference_library/seeds/archaea/KOX95185.1.faa	boundary_candidate	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version KOX95185.1	https://www.ncbi.nlm.nih.gov/protein/KOX95185.1	accession_fetch	KOX95185.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	KOX95185.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloarcula rubripromontorii]			boundary_control	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:KOX95185.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet. Architecture or accession-level evidence review: retained as boundary/control; excluded from P05 HMM seed bundle on 2026-07-27.
