family_category	model_sha256	seed_id	source_accession	sequence_path
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-A6EXA3	A6EXA3	01_reference_library/seeds/bacteria/A6EXA3.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-AAB40611.1	AAB40611.1	01_reference_library/seeds/bacteria/AAB40611.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-BAA32541.1	BAA32541.1	01_reference_library/seeds/bacteria/BAA32541.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-BAA35137.1	BAA35137.1	01_reference_library/seeds/bacteria/BAA35137.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-BAA92354.1	BAA92354.1	01_reference_library/seeds/bacteria/BAA92354.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-BAF35850.1	BAF35850.1	01_reference_library/seeds/bacteria/BAF35850.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-BBB62377.1	BBB62377.1	01_reference_library/seeds/bacteria/BBB62377.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-BBB68334.1	BBB68334.1	01_reference_library/seeds/bacteria/BBB68334.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-CAQ46066.1	CAQ46066.1	01_reference_library/seeds/bacteria/CAQ46066.1.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-O05527	O05527	01_reference_library/seeds/bacteria/O05527.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-O82950	O82950	01_reference_library/seeds/bacteria/O82950.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-P12625	P12625	01_reference_library/seeds/bacteria/P12625.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-Q51718	Q51718	01_reference_library/seeds/bacteria/Q51718.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-Q5YEW3	Q5YEW3	01_reference_library/seeds/bacteria/Q5YEW3.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-Q6UFW4	Q6UFW4	01_reference_library/seeds/bacteria/Q6UFW4.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-Q84C08	Q84C08	01_reference_library/seeds/bacteria/Q84C08.faa
extracellular_pha_depolymerase_core	fb9f56cc54760483b1a728fac9f81aae6b989da134dfdd01dff4b37e7c1da9d2	core-ZP_01169502.1	ZP_01169502.1	01_reference_library/seeds/bacteria/ZP_01169502.1.faa
