seed_id	reference_library	taxonomic_domain	family_category	seed_name	evidence_level	source_database	source_accession	organism	taxon_id	retrieval_date	sequence_format	sequence_length_aa	sequence_path	family_label	source_release	source_version	source_url	retrieval_method	retrieval_query	retrieval_endpoint	retrieval_batch_id	retrieval_log_path	accession_version	taxon	database_version	doi	pmid	pmcid	reference_title	reference_year	exclusion_reason	record_kind	literature_support_scope	supporting_sources	supporting_accessions	supporting_notes	notes
bac-O05527	bacteria_high_confidence	Bacteria	extracellular_scl_pha_dep_type_II	Comamonas/Delftia extracellular PHB depolymerase	E1	UniProtKB	O05527	Delftia acidovorans	80866	2026-07-25	faa	494	01_reference_library/seeds/bacteria/O05527.faa	Extracellular scl-PHA depolymerase type II	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/O05527/entry	accession_fetch	O05527	https://rest.uniprot.org/uniprotkb/O05527.fasta	p04-seed-2026-07-25	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	UniProtKB 2026_02	10.1128/aem.63.12.4844-4852.1997	9406404		Biochemical and molecular characterization of the polyhydroxybutyrate depolymerase of Comamonas acidovorans YM1609, isolated from freshwater	1997		seed	direct biochemical activity on PHB film and secreted localization	UniProtKB;NCBI Protein;InterPro;Pfam	EMBL:AB003186;NCBI Protein:BAA19791.1;InterPro:IPR010126;Pfam:PF10503;Pfam:PF00041	Includes alpha/beta hydrolase and FN3 architecture; sequence evidence does not prove GTDB hits degrade PHB	Primary high-confidence bacterial extracellular seed
bac-P12625	bacteria_high_confidence	Bacteria	extracellular_scl_pha_dep_type_I	Ralstonia pickettii extracellular PHB depolymerase	E2	UniProtKB	P12625	Ralstonia pickettii	329	2026-07-25	faa	488	01_reference_library/seeds/bacteria/P12625.faa	Extracellular scl-PHA depolymerase type I	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/P12625/entry	accession_fetch	P12625	https://rest.uniprot.org/uniprotkb/P12625.fasta	p04-seed-2026-07-25	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	UniProtKB 2026_02	10.1128/jb.171.1.184-189.1989;10.1073/pnas.89.19.8990	2644188;1409594		Literature-backed extracellular PHB depolymerase record from Ralstonia pickettii	1989;1992		seed	functional literature-backed sequence with UniProt reviewed status	UniProtKB;NCBI Protein;InterPro;Pfam	EMBL:J04223;NCBI Protein:AAA21974.1;InterPro:IPR010126;Pfam:PF10503;Pfam:PF00041	UniProt protein existence is inferred from homology, so keep E2 rather than E1	High-confidence bacterial seed with limitations recorded
bac-P26495	bacteria_high_confidence	Bacteria	tigr02240_aromatic_pha_related	Pseudomonas oleovorans PHA depolymerase	E2	UniProtKB	P26495	Ectopseudomonas oleovorans	301	2026-07-25	faa	283	01_reference_library/seeds/bacteria/P26495.faa	TIGR02240 aromatic-PHA-related depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/P26495/entry	accession_fetch	P26495	https://rest.uniprot.org/uniprotkb/P26495.fasta	p04-seed-2026-07-25	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	UniProtKB 2026_02	10.1016/s0021-9258(18)52227-4;10.1111/j.1574-6968.1992.tb05841.x	1989978;1476773		Literature-backed PHA-depolymerase record from Pseudomonas oleovorans	1991;1992		seed	literature-backed PHA depolymerase sequence for aromatic/mcl-related boundary	UniProtKB;NCBI Protein;InterPro;Pfam;NCBIfam	EMBL:M58445;NCBI Protein:AAA25933.1;InterPro:IPR011942;Pfam:PF00561;NCBIfam:TIGR02240	TIGR02240 family anchor is related but sequence-level phenotype claims remain bounded	High-confidence boundary seed for aromatic-PHA-related family
bac-Q939Q9	bacteria_high_confidence	Bacteria	phaZ7_like	Paucimonas lemoignei PhaZ7	E2	UniProtKB	Q939Q9	Paucimonas lemoignei	29443	2026-07-25	faa	380	01_reference_library/seeds/bacteria/Q939Q9.faa	PhaZ7-like depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q939Q9/entry	accession_fetch	Q939Q9	https://rest.uniprot.org/uniprotkb/Q939Q9.fasta	p04-seed-2026-07-25	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	UniProtKB 2026_02	10.1074/jbc.M101106200;10.1016/j.jmb.2008.07.078;10.1111/mmi.12391	11457823;18706425;24007310		PHB depolymerase PhaZ7 literature and structural evidence from Paucimonas lemoignei	2001;2008;2013		seed	protein-level PhaZ7 literature support; NCBI record is partial/fragment	UniProtKB;NCBI Protein;InterPro;Pfam	EMBL:AY026355;NCBI Protein:AAK07742.1;InterPro:IPR002918;Pfam:PF01674	FASTA is a UniProt TrEMBL fragment; use as PhaZ7-like seed with explicit limitation	PhaZ7-like seed kept separate from PF10503 family
bac-Q3V6L9	bacteria_high_confidence	Bacteria	phaZd_like	Cupriavidus necator PhaZd	E2	UniProtKB	Q3V6L9	Cupriavidus necator	106590	2026-07-25	faa	362	01_reference_library/seeds/bacteria/Q3V6L9.faa	PhaZd-like intracellular PHB depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q3V6L9/entry	accession_fetch	Q3V6L9	https://rest.uniprot.org/uniprotkb/Q3V6L9.fasta	p04-seed-2026-07-25	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	UniProtKB 2026_02	10.1128/JB.187.20.6982-6990.2005	16199568		Identification of intracellular PHB depolymerase PhaZd in Cupriavidus necator H16	2005		seed	literature-backed intracellular PhaZd sequence with functional interpretation limits	UniProtKB;NCBI Protein;InterPro;Pfam	EMBL:AB206256;NCBI Protein:BAE44206.1;InterPro:IPR010126;Pfam:PF10503	Keep separate from broad annotation-only intracellular candidates	High-confidence bacterial PhaZd-like seed
bac-O87189	bacteria_high_confidence	Bacteria	intracellular_phaZ_no_lipase_box	Cupriavidus necator PhaZre	E2	UniProtKB	O87189	Cupriavidus necator H16	106590	2026-07-25	faa	419	01_reference_library/seeds/bacteria/O87189.faa	Intracellular PhaZ no lipase box	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/O87189/entry	accession_fetch	O87189	https://rest.uniprot.org/uniprotkb/O87189.fasta	p04-seed-2026-07-25-uniprot-bridge	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	UniProtKB 2026_02	10.1128/JB.183.1.94-100.2001	11114905		Cloning of an intracellular poly[(R)-3-hydroxybutyrate] depolymerase gene from Ralstonia eutropha H16 and characterization of the gene product	2001		seed	direct intracellular PHB depolymerase support; no classic lipase-box route	UniProtKB;PubMed	UniProtKB:O87189;PubMed:11114905	no signal peptide in source record; bridge row for TIGR01849-compatible intracellular coverage	PHB-focused bridge row for the missing intracellular no-lipase-box family
bac-Q6YNP7	bacteria_high_confidence	Bacteria	rhodospirillum_periplasmic_like	Rhodospirillum rubrum PhaZ1	E2	UniProtKB	Q6YNP7	Rhodospirillum rubrum	1085	2026-07-25	faa	362	01_reference_library/seeds/bacteria/Q6YNP7.faa	Rhodospirillum periplasmic-like PHB depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q6YNP7/entry	accession_fetch	Q6YNP7	https://rest.uniprot.org/uniprotkb/Q6YNP7.fasta	p04-seed-2026-07-25-uniprot-bridge	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	UniProtKB 2026_02	10.1128/JB.186.21.7243-7253.2004	15489436		The intracellular poly(3-hydroxybutyrate) depolymerase of Rhodospirillum rubrum is a periplasm-located protein	2004		seed	direct PHB depolymerase / periplasmic localization evidence	UniProtKB;PubMed	UniProtKB:Q6YNP7;PubMed:15489436	bridge row for Rhodospirillum-like branch	PHB core bridge to cover the periplasmic-like DED family
bac-Q5Y152	bacteria_high_confidence	Bacteria	intracellular_mcl_pha_dep	Pseudomonas putida KT2442 PhaZ	E1	UniProtKB	Q5Y152	Pseudomonas putida KT2442	303	2026-07-25	faa	285	01_reference_library/seeds/bacteria/Q5Y152.faa	Intracellular mcl-PHA depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q5Y152/entry	accession_fetch	Q5Y152	https://rest.uniprot.org/uniprotkb/Q5Y152.fasta	p04-seed-2026-07-25-uniprot-bridge	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	UniProtKB 2026_02	10.1074/jbc.M608119200	17170116		Biochemical evidence that phaZ gene encodes a specific intracellular medium chain length polyhydroxyalkanoate depolymerase in Pseudomonas putida KT2442: characterization of a paradigmatic enzyme	2007		seed	direct biochemical evidence for intracellular mcl-PHA depolymerase	UniProtKB;PubMed	UniProtKB:Q5Y152;PubMed:17170116	bridge row for mcl-PHA intracellular family coverage	PHA bridge row to preserve DED mcl family coverage without diluting PHB core
bac-Q51718	bacteria_high_confidence	Bacteria	extracellular_mcl_pha_dep	Pseudomonas fluorescens GK13 PhaZ	E1	UniProtKB	Q51718	Pseudomonas fluorescens GK13	294	2026-07-25	faa	278	01_reference_library/seeds/bacteria/Q51718.faa	Extracellular mcl-PHA depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q51718/entry	accession_fetch	Q51718	https://rest.uniprot.org/uniprotkb/Q51718.fasta	p04-seed-2026-07-25-uniprot-bridge	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv		Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	UniProtKB 2026_02	10.1128/AEM.00337-10	20400568		Production of chiral (R)-3-hydroxyoctanoic acid monomers, catalyzed by Pseudomonas fluorescens GK13 poly(3-hydroxyoctanoic acid) depolymerase	2010		seed	direct extracellular mcl-PHA depolymerase activity	UniProtKB;PubMed	UniProtKB:Q51718;PubMed:20400568	bridge row for extracellular mcl-PHA family coverage	PHA bridge row to retain boundary coverage beyond PHB-specific seeds
bac-Q0K7T2	bacteria_high_confidence	Bacteria	intracellular_phaZ_no_lipase_box	Cupriavidus necator PhaZ2	E1	UniProtKB	Q0K7T2	Cupriavidus necator H16	381666	2026-07-26	faa	404	01_reference_library/seeds/bacteria/Q0K7T2.faa	Intracellular PhaZ no lipase box	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q0K7T2/entry	accession_fetch	Q0K7T2	https://rest.uniprot.org/uniprotkb/Q0K7T2.fasta	p05-seed-2026-07-26-uniprot-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	Q0K7T2	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales	UniProtKB 2026_02	10.1128/JB.185.12.3485-3490.2003;10.1128/JB.185.13.3788-3794.2003	12775684;12813072		Intracellular poly(3-hydroxybutyrate) depolymerase	2003		seed	direct intracellular PHB depolymerase activity with no lipase-box branch support	UniProtKB;PubMed			Seed candidate added to expand the intracellular no-lipase-box trunk; distinct H16 paralog with direct literature support.
